,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
73,74,2.92,2.77,4.37,4.4,-0.57,-0.56,-0.75,36.8,2716.0
74,75,2.95,2.77,7.72,8.7,0.71,0.55,-0.18,37.1,2753.1
75,76,3.42,2.99,6.09,6.51,-0.53,-0.44,-0.82,36.3,2789.4
76,77,3.48,3.25,8.02,8.58,0.72,0.57,0.01,36.6,2826.0
77,78,2.9,2.87,8.3,8.37,-0.82,-0.84,-0.92,36.0,2862.0
78,79,3.42,3.22,3.74,4.04,-0.12,-0.19,-0.52,36.4,2898.4
79,80,3.96,3.83,3.85,3.9,0.47,0.21,-0.33,37.0,2935.4
80,81,3.45,3.41,4.24,4.37,0.42,0.18,-0.43,36.7,2972.1
81,82,3.45,3.33,4.39,4.73,0.49,0.22,-0.45,36.7,3008.9
82,83,3.64,3.54,5.14,5.2,0.33,0.07,-0.52,36.5,3045.3
83,84,3.36,3.9,4.01,4.56,0.08,-0.07,-0.6,36.6,3081.9
84,85,3.72,3.73,4.11,4.83,0.44,0.21,-0.36,37.0,3118.9
85,86,3.59,3.56,6.49,6.62,0.74,0.54,0.13,36.8,3155.7
86,87,2.98,3.21,4.38,5.13,0.6,0.32,-0.26,36.9,3192.7
87,88,3.36,3.32,4.57,4.9,0.26,0.13,-0.52,36.6,3229.2
88,89,3.02,3.31,6.07,6.55,-0.57,-0.66,-0.8,37.1,3266.3
89,90,2.68,2.8,3.35,3.94,0.44,0.24,-0.44,37.1,3303.4
90,91,3.19,3.44,3.79,4.19,0.53,0.33,-0.3,36.3,3339.7
91,92,3.14,3.22,4.37,4.61,0.01,-0.27,-0.58,36.7,3376.4
92,93,2.85,3.06,4.89,5.57,0.21,0.17,-0.66,36.8,3413.2
93,94,2.98,3.16,4.57,4.55,0.62,0.47,-0.3,36.9,3450.0
94,95,3.01,3.23,3.53,4.1,0.46,0.12,-0.42,37.0,3487.0
95,96,2.74,2.68,3.49,4.33,-0.09,-0.21,-0.74,36.5,3523.6
96,97,2.44,2.4,4.54,5.06,-0.31,-0.5,-0.78,36.7,3560.2
97,98,2.51,2.59,4.33,5.17,-0.05,-0.21,-0.72,36.6,3596.8
98,99,2.52,2.5,4.08,4.61,0.24,0.05,-0.6,36.6,3633.4
99,100,2.61,2.59,3.41,4.39,0.27,0.09,-0.56,36.7,3670.1
100,101,2.47,2.77,4.09,4.65,0.79,0.45,-0.24,36.7,3706.8
101,102,2.36,2.69,5.06,5.65,-0.22,-0.48,-0.75,36.6,3743.4
102,103,2.13,2.2,3.55,4.01,0.73,0.17,-0.37,36.6,3779.9
103,104,2.27,2.71,3.62,4.1,0.72,0.27,-0.31,36.8,3816.7
104,105,2.22,2.46,3.87,4.34,0.29,-0.28,-0.65,36.8,3853.6
