,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
0,1,6.41,4.37,2.72,2.83,-1.0,-1.0,-1.0,25.5,25.5
1,2,5.0,3.06,2.78,2.82,-0.99,-0.99,-1.0,24.4,49.9
2,3,4.46,2.68,3.71,3.98,-0.98,-0.98,-0.99,24.6,74.5
3,4,4.75,3.1,2.79,2.98,-0.92,-0.91,-0.95,24.7,99.2
4,5,4.59,2.86,4.45,4.56,-0.99,-0.99,-0.99,24.4,123.7
5,6,4.17,2.7,2.22,2.64,-0.78,-0.75,-0.85,24.5,148.2
6,7,4.07,2.63,3.74,3.72,-0.92,-0.93,-0.97,24.4,172.6
7,8,3.15,2.16,4.44,4.62,-0.75,-0.84,-0.87,24.5,197.1
8,9,3.18,2.3,11.63,11.46,-0.35,-0.55,-0.7,24.6,221.7
9,10,2.88,2.19,6.21,6.11,-0.99,-1.0,-0.99,24.6,246.3
10,11,3.66,2.43,2.01,2.43,-0.5,-0.6,-0.74,24.6,270.9
11,12,3.22,2.27,5.15,5.12,-0.73,-0.83,-0.83,24.5,295.4
12,13,2.82,2.18,11.19,10.99,-0.79,-0.81,-0.91,24.6,320.0
13,14,3.4,2.41,1.82,2.39,-0.67,-0.7,-0.8,24.6,344.6
14,15,2.64,2.04,2.21,2.66,-0.37,-0.36,-0.54,24.7,369.3
15,16,2.5,1.86,2.11,2.57,-0.47,-0.66,-0.72,24.3,393.7
16,17,2.87,2.19,3.48,3.71,-0.89,-0.89,-0.88,24.7,418.4
17,18,2.38,1.88,2.39,2.77,-0.39,-0.57,-0.71,24.9,443.2
18,19,2.53,2.02,3.83,3.85,-0.93,-0.95,-0.94,24.5,467.7
19,20,2.51,2.01,1.9,2.43,-0.63,-0.68,-0.79,24.9,492.7
20,21,2.48,1.96,3.92,4.55,0.0,-0.19,-0.46,25.3,518.0
21,22,2.41,1.91,2.47,2.75,-0.19,-0.57,-0.57,25.1,543.1
22,23,2.31,1.92,2.69,2.95,-0.46,-0.68,-0.73,24.6,567.7
23,24,2.14,1.77,5.0,5.4,-0.13,-0.5,-0.66,25.0,592.7
24,25,2.14,1.79,2.22,2.59,-0.47,-0.71,-0.72,24.4,617.1
25,26,2.19,1.76,2.02,2.45,-0.62,-0.79,-0.79,24.7,641.8
26,27,2.24,1.87,4.04,4.45,-0.29,-0.59,-0.68,24.7,666.5
27,28,2.19,1.7,2.47,3.04,-0.32,-0.67,-0.74,24.7,691.2
28,29,1.84,1.66,2.02,2.4,-0.72,-0.83,-0.72,24.6,715.8
29,30,2.1,1.79,2.41,2.75,-0.43,-0.82,-0.74,24.8,740.7
30,31,1.95,1.65,2.32,2.99,-0.02,-0.5,-0.53,24.6,765.3
31,32,1.92,1.71,3.98,3.99,-0.6,-0.7,-0.72,24.4,789.7
32,33,2.0,1.61,4.84,5.3,-0.03,-0.51,-0.61,24.7,814.4
