,lambda_val,correlation
0,1.0,0.13804865876833597
1,0.7142857142857143,-0.16654046981905896
2,1.0,-0.016717371220390003
3,1.0,-0.11424634916086993
4,1.4,0.10733252018690109
5,1.0,0.03322809428209439
6,1.0,-0.0662935512761275
7,1.0,-0.030060476584670443
8,1.0,0.02105371654033661
9,1.0,-0.06382487838466962
10,1.0,-0.003757940445211716
11,1.088131067837325,0.013889030398180086
12,1.0831953174502948,-0.03184477325218419
13,1.0959768949375401,-0.02261178137268871
14,1.0808954359315524,-0.0204279045186316
15,1.4852876813285223,0.08171447739005089
16,1.1371791287461193,-0.0064324432363112765
17,1.1270665921456253,-0.019888376894717417
18,1.1353858472945053,-0.017216531559824944
19,1.1612721795665824,0.018099699014176924
20,1.143340484485323,-0.03537025389960036
21,1.1696386653971869,-0.009961884080742797
22,1.1853895411645237,-0.006587587025326988
23,1.1865380819556353,-0.036817408477266625
24,1.2009131354196991,-0.007217916815231243
25,1.2073268762895024,-0.024323535462220512
