,epoch,train_loss,train_standard_loss,validation_loss,test_loss,train_correlation,validation_correlation,test_correlation,epoch_duration,run_duration
72,73,6.89,7.3,19.01,19.03,-0.93,-0.92,-0.9,27.5,1996.2
73,74,6.41,6.69,11.48,10.97,-0.76,-0.78,-0.67,27.4,2023.6
74,75,7.4,7.84,24.73,24.77,-0.93,-0.93,-0.92,27.4,2051.0
75,76,6.12,6.36,10.5,10.13,-0.23,-0.35,-0.09,27.4,2078.4
76,77,6.36,6.51,7.06,7.3,-0.51,-0.61,-0.44,27.5,2105.9
77,78,5.93,6.29,5.32,5.36,0.08,-0.13,0.0,27.4,2133.4
78,79,6.4,6.6,17.5,17.31,-0.87,-0.9,-0.82,27.5,2160.9
79,80,5.73,6.18,4.92,4.77,-0.27,-0.37,-0.23,27.4,2188.3
80,81,7.55,7.23,18.45,18.78,-0.07,-0.05,-0.15,27.4,2215.8
81,82,6.59,7.25,28.84,29.38,-0.97,-0.97,-0.96,27.5,2243.3
82,83,6.04,6.61,18.3,18.89,-0.05,-0.07,-0.17,27.5,2270.7
83,84,6.22,7.06,27.88,28.45,-0.98,-0.98,-0.98,27.4,2298.2
84,85,6.57,6.65,10.96,11.51,0.22,0.1,0.02,27.6,2325.7
85,86,7.43,7.76,9.84,9.92,0.43,0.29,0.3,27.5,2353.2
86,87,7.35,7.36,9.58,8.98,-0.69,-0.69,-0.59,27.4,2380.6
87,88,7.39,7.97,26.63,26.45,-0.91,-0.89,-0.88,27.3,2408.0
88,89,6.27,6.69,12.62,12.64,-0.13,-0.14,-0.27,27.5,2435.4
89,90,5.69,6.05,23.39,24.11,-0.96,-0.95,-0.94,27.4,2462.9
90,91,5.36,6.09,9.91,9.62,0.18,0.08,-0.01,27.2,2490.1
91,92,6.21,6.47,15.89,15.78,-0.92,-0.94,-0.89,27.4,2517.5
92,93,6.07,6.43,5.16,6.52,0.05,-0.11,-0.03,27.4,2544.9
93,94,5.79,6.17,15.79,15.56,-0.89,-0.9,-0.84,27.5,2572.4
94,95,6.36,6.28,19.93,20.59,-0.96,-0.95,-0.94,27.6,2600.0
95,96,6.28,7.29,18.08,18.57,-0.95,-0.94,-0.92,27.5,2627.5
96,97,6.21,6.73,14.98,14.94,-0.87,-0.86,-0.79,27.4,2654.9
97,98,5.79,5.9,16.35,17.06,0.04,0.05,-0.14,27.5,2682.4
98,99,6.1,6.94,23.2,24.32,-0.41,-0.38,-0.56,27.5,2709.8
