,lambda_val,correlation
0,1.0,-0.28632107687493163
1,1.4,0.08561729684394473
2,1.4,0.14845414987454814
3,1.0,-0.12293831290056309
4,1.4,0.04683677479624748
5,1.4,0.17260799556970596
6,1.0,-0.0007037414858738584
7,1.0,-0.03147246999045213
8,1.0,-0.05263505441447099
9,1.0,0.0255326417585214
10,1.0,-0.06930815187903742
11,1.1079739201323446,-0.03334169027705987
12,1.1107382252584612,-0.05136777708927791
13,1.1329003970367055,-0.018899052714308105
14,1.1189308332522852,-0.033914534763122596
15,1.1083830096975515,-0.03149170863131682
16,0.5570308330529428,-0.17610638837019604
17,1.2035761677446573,-0.019592293848594032
18,1.2261858204100364,-0.00282204383984208
19,1.2288955036790827,-0.03692163492087275
20,1.275919667025284,0.05833847541362047
21,1.2367043414011425,-0.010928458844621977
22,1.2426899654533246,-0.04241330036893487
23,1.258473848557459,-0.03354290942661464
24,1.281613958808039,-0.011310741305351257
25,1.2899325276382267,-0.028556321010303996
